"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"Wikiversity","Wikiversity is a Wikimedia Foundation project that supports learning communities and the creation of and use of free learning materials, and the provision of learning activities.
Wikiversity is one of many wikis used in educational contexts and  initiatives that are creating free and open educational resources. Compared with other Wikimedia Foundation projects, Wikiversity never really took off. 

","http://www.wikiversity.org/","","","","Grass Roots Organization Or Community Network","","not for profit organization","2006-01-01 00:00:00","Arabic, Czech, English, French, German, Italian, Portuguese, Russian, Spanish","","","Collaborative writing, Collaborative archive, Open education","Collage","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","","It licenses the content under two main licences, plus exceptions.  (see below)
But I could not fill more than one options.

Text to which you hold the copyright: When you submit text to which you hold the copyright, you agree to license it under:

    Creative Commons Attribution-ShareAlike 3.0 Unported License (“CC BY-SA”), and
    GNU Free Documentation License (“GFDL”) (unversioned, with no invariant sections, front-cover texts, or back-cover texts).

(Re-users may comply with either license or both.)

The only exception is if the Project edition or feature requires a different license. In that case, you agree to license any text you contribute under that particular license. For example, at the publication of this version of the Terms of Use, English Wikinews mandates that all text content is licensed under the Creative Commons Attribution 2.5 Generic License (CC BY 2.5) and does not require a dual license with GFDL.",""
"WordPress","WordPress.com is a blog web hosting service provider owned by Automattic and powered by the open source WordPress software. It provides free blog hosting for registered users and is financially supported via paid upgrades, ""VIP"" services and advertising. The site opened to the public on November 2005. There were over 56 million individual blogs with the service as of October 2012, which receive more than 100 million pageviews per day. WordPress ranked 19 in Alexa rank on February 2014 .
Registration is not required to read or comment on blogs hosted on the site, except if chosen by the blog owner. Registration is required to own, or post in, a weblog. All the basic and original features of the site are free-to-use. However, some features (including CSS editor, domain mapping, Domain Registration, Removal of Ads, Website Redirection, Video Upload, and storage upgrades) are available as paid options.
Some notable clients include CNN, CBS, BBC, Reuters, Sony and Volkswagen. In September 2010, it was announced that Windows Live Spaces, Microsoft's blogging service, would be closing, and that Microsoft would instead be partnering with WordPress.com for blogging services.
On November 2012, WordPress.com announced that Bitcoins would be accepted as a payment method for everything except for domain and theme purchase outside certain bundles.","http://wordpress.com/","","","","Business","Automattic, Inc. 132 Hawthorne Street San Francisco, CA 94107 United States of AmericaSan Francisco, CA 94107United States","for profit organization","2005-01-01 00:00:00","English","","","Citizen media, Free software social networks and platforms","Album","Resource, Service","Other","GNU General Public License V2","","","",""
"The Standby task force","The Standby Task Force (SBTF) organizes digital volunteers into a flexible, trained and prepared network ready to deploy in crises.  The concept for the Task Force was launched at the 2010 International Conference on Crisis Mapping (ICCM 2010) to streamline online volunteer support for crisis mapping following lessons learned in Haiti, Chile and Pakistan, and to provide a dedicated interface for the humanitarian community. Our main objective is to effectively assist crisis affected communities through co-operation with local and international responders. To this effect, we aim to increase the ability and skills of SBTF volunteers through a continuous dialogue and coordination with other tech and crisis mapping volunteer efforts. This will enable SBTF to provide a sustainable and predictable service to first responders. We are also directly engaging colleagues from the traditional humanitarian community in order to develop the SBTF structure and protocols with full understanding of principles of effective and ethical humanitarian response.  Some members of the SBTF are professionals working in the fields of ICT and humanitarian response; many others come from diverse backgrounds and have been trained by the SBTF in the necessary skills to contribute. The SBTF is a volunteer organization; it is a platform, a shared space for those who have skills to offer (or are willing to learn skills) to assist crisis affected communities through the use of technology.","http://blog.standbytaskforce.com/","https://www.facebook.com/StandbyTaskForce, https://twitter.com/SBTaskForce, https://plus.google.com/share?url=http%3A%2F%2Fblog.standbytaskforce.com%2Fcontact%2F, http://blog.standbytaskforce.com/contact/?share=linkedin&nb=1","coreteam@standbytaskforce.com ","","Social Enterprise Charity Or Foundation","United States","not for profit organization","2010-01-01 00:00:00","English","","humanitarian help, Disaster Response","Community networks","Building collective process","Service","Copyright","No license","Sahana, Humanitarian Open Street Map, Crisis Common, Crisis mappers, ","Wordpress","",""
"Wikivoyage","Wikivoyage is a free web-based travel guide for travel destinations and travel topics written by volunteer authors. 
The project originated initially from a fork from Wikitravel in 2006. Later, after further tensions, forks and re-merging within the community, in Dicember 2012 the German association Wikivoyage e.V. and the English Wikitravel community moved all the projects operations in order to be hosted by the Wikimedia Foundation, the non-profit organization hosting several of the world's largest wiki-based communities such as Wikipedia.

","http://www.wikivoyage.org/","","","","Grass Roots Organization Or Community Network","","not for profit organization","2006-01-01 00:00:00","English, German, Italian, Spanish","","","Collaborative writing, Collaborative video, audio, images, Collaborative archive","Collage","Resource, Service","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","Wikivoyage e.V. ","Wikimedia Foundation","",""
"Evergreen","Evergreen is an open-source, scalable integrated library system. Like many ILSes Evergreen features an online public access catalog and staff client. Features include circulation, cataloging, billing, reporting, acquisitions, serials and much more. As open source software Evergreen's features and support are driven by it's users. ","http://evergreen-ils.org/","https://twitter.com/EvergreenILS, https://www.facebook.com/EvergreenILS","","","Grass Roots Organization Or Community Network","","not for profit organization","2008-01-01 00:00:00","English","","","FLOSS communities, Collaborative writing","Collage","Resource, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","Evergreen"," Evergreen","",""
"Society One","SocietyOne is Australia's first fully compliant peer-to-peer online platform – connecting borrowers and investors in a secure, safe, professional online environment. 
SocietyOne enables individuals to lend and borrow money to each other without the intermediation of a bank or financial institution. Qualified borrowers can request up to $30,000 in unsecured personal loans at competitive rates determined by their credit profile. Approved applications are listed on the platform for verified investors to assess and bid on. Once terms are agreed and accepted by the parties, SocietyOne handles the funds management and servicing of every loan on behalf of the matched borrowers and investors. Stringent procedures and processes ensure a safe and secure lending environment.

Read more: http://www.crunchbase.com/company/societyone#ixzz2tt7dhLLp
Follow us: @crunchbase on Twitter | crunchbase on Facebook
","http://www.societyone.com.au/","https://www.facebook.com/mysocietyone, https://twitter.com/mysocietyone, https://plus.google.com/+SocietyoneAu/posts","headoffice@societyone.com.au","http://www.societyone.com.au/contact-us","Business","Australia","for profit organization","2012-01-01 00:00:00","English","1300 144221 ","","Collaborative consumption, P2P economy","Exchange","Service","Copyright","Private software","Society One","Society One","",""
"Micromappers","The first ever set of microtasking apps specifically customized for digital humanitarian response. If you’re new to microtasking in the context of disaster response, then I recommend reading this, this and this. The purpose of our web-based microtasking apps (we call them Clickers) is to quickly make sense of all the user-generated, multi-media content posted on social media during disasters. How? By using microtasking and making it as easy as a single click of the mouse to become a digital humanitarian volunteer. This is how volunteers with Zooniverse were able to click-and-thus-tag well over 2,000,000 images in under 48-hours.","http://micromappers.com/","https://twitter.com/MicroMappers","Patrick@iRevolution.net","","Government And Public Sector","United States","other","2013-01-01 00:00:00","English","","Disaster Response, humanitarian help","Community networks","Building collective process","Service, Others","No license","Open Source License","QCRI, CrowdCrafting, United Nations (OCHA)","Wordpress","I don't find the physical address. ",""
"Red Ciudadana. Partido X","Red Ciudadana, Partido X  is a political party appeared publicly in early 2013, presented online via its Twitter account (@ Partido_X). It came out from a group persons related to the Spanish 15M  and from the movement of free culture and free software. This party advocates for democracy 4.0: forms of direct democracy by the Internet, wikigovernement, binding referendums, popular Llegislative initiatives, involvement of citizens in the drafting of laws, transparency.","http://partidox.org/","https://twitter.com/Partido_X, https://www.facebook.com/PartidoXPartidodelFuturo, https://www.youtube.com/user/ElPartidodelFuturo?feature=watch"," info@partidodelfuturo.net","http://partidox.org","Grass Roots Organization Or Community Network","","not for profit organization","2013-01-01 00:00:00","Spanish","","","Collaborative writing, Collaborative research, Citizen science, Open education","Other","Methodology, Brand","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","","",""
"Blablacar","BlaBlaCar is a trusted community marketplace that connects drivers with empty seats to passengers looking for a ride. It was a community platform Covoiturage.fr created in 2004 by Frédéric Mazzella, and it became a payed service platform in 2011.
","http://www.blablacar.com/","http://www.youtube.com/user/BlablaCarUK, https://twitter.com/blablacarUK, https://www.facebook.com/blablacar.es, http://www.pinterest.com/blablacar/","","http://www.blablacar.com/contact","Business","","not for profit organization","2011-01-01 00:00:00","Dutch, English, French, German, Italian, Polish, Portuguese, Russian, Spanish, Ukranian","","car, sharing, drivers, passengers","Collaborative consumption","Exchange","Service","Copyright","Private software","COMUTO","COMUTO","",""
"CBPP Directory","The mission of this directory is to collect and typify digital platforms or projects that are Commons Based Peer Productions (CBPP). In short, CBPP means to produce collaboratively and provide access to resources under community governance. Currently, in this directory there are a hundred of cases that are based on collaborative forms of production. Projects that produce open sets of software, texts, images, videos, music or sounds, collaborative research projects that give access to all the data, projects that produce resources for public use and that also offer open methodologies, etc. The directory development is supported by the european project P2Pvalue, and promoted by a consortium of organizations including P2Pvalue project and partner members and Spanish Chapter of Open Knowledge Foundation, among others.","http://directory.p2pvalue.eu/","https://twitter.com/P2Pvalue, https://www.facebook.com/groups/p2pvalue/, https://www.youtube.com/p2pvalue/","","http://directory.p2pvalue.eu/contact","Academia And Research","Europe","public institution","2014-01-01 00:00:00","English","","Common-based peer production","Collaborative archive, Collaborative mapping","Album","Resource","CC0 1.0 Universal (CC0 1.0)","GNU General Public License V3","P2Pvalue project","P2Pvalue project ","",""
"DatAnalysis15m","DatAnalysis15M is a transdisciplinary research group about digital activism and techno-politics. The group is formed by researchers and research centers, such as the Communication Program and Civil Society IN3, Barcelona Media Foundation and Outliers .
The group was born in June 2012 in Barcelona and mainly worked with and around actors and groups actived since the mobilization of the 15th of May of 2011 in Spain. ","http://datanalysis15m.wordpress.com/","https://twitter.com/DatanAlysis15m","infoDatAnalysis15m@gmail.com","","Grass Roots Organization Or Community Network","Barcelona SpainSpain","public institution","2012-01-01 00:00:00","Spanish","","","Collaborative research, Open science, Open data commons","Other","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","Wordpress, UOC","",""
"Occupy Sandy Recovery ","Occupy Sandy is a grassroots disaster relief network that emerged to provide mutual aid to communities affected by Superstorm Sandy. We're also a fiscally sponsored project of the Alliance for Global Justice so all donations are tax deductible.  ","http://occupysandy.net/","http://twitter.com/occupysandy, http://facebook.com/OccupySandyReliefNYC","occupysandyprojects@gmail.com","","Grass Roots Organization Or Community Network","New York,United States","not for profit organization","2014-01-01 00:00:00","English","(347) 770-4520","","Community networks","Building collective process","Service","Creative Commons: Attribution-NonCommercial (CC-BY-NC)","No license","fiscal sponsorship from the Alliance for Global Justice","coalition of groups ","",""
"The Global Lives Project ","The Global Lives Project is a nonprofit organization consisting of volunteer filmmakers and photographers, programmers and engineers, architects and designers, students and scholars. The mission of the organization is to collaboratively build a video library of human life experience that reshapes how individuals conceive of cultures, nations and people outside of their own communities.","http://globallives.org/","https://twitter.com/globallives","","","Grass Roots Organization Or Community Network","","not for profit organization","2010-01-01 00:00:00","English","","filmmakers, photographers, video library, cultures, nations","Collaborative video, audio, images, Collaborative archive, Open education","Other","Resource","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","No license","","","",""
"Identica/StatusNet","Identi.ca is an open source social networking and micro-blogging service based on the pump.io software, using the Activity Streams protocol.","http://status.net/","","","http://lists.status.net/mailman/listinfo/statusnet-dev","Grass Roots Organization Or Community Network","United States","other","2008-01-01 00:00:00","English","","peer-to-peer, social network","P2P file sharing","Exchange","Service","Other","GNU General Public License V3","","users (P2P)","",""
"Gossple","Gossple aims at radically changing the navigation on the Internet by placing users affinities and preferences at the heart of the search process. Complementing traditional search engines, Gossple will turn search requests into live data to seek the information where it ultimately is: at the user. Gossple precisely aims at providing a fully decentralized system, auto-organizing, able to discover, capture and leverage the affinities between users and data.","http://www.gossple.fr","","Anne-Marie.Kermarrec@inria.fr","http://www.gossple.fr/index.php/Gossple_Project","Academia And Research","France","public institution","2008-01-01 00:00:00","English","","peer-to-peer, search engine","P2P file sharing","Exchange","Service","Other","GNU General Public License V3","Anne-Marie Kermarrec","users (P2P)","",""
"Faroo","FAROO is a universal web search engine based on peer-to-peer technology. It uses a distributed crawler that stores search data on users' computers instead of a central server. Whenever a user visits a website, it is automatically indexed and distributed to the network. Ranking is done by comparing usage statistics of users, such as web pages visited, amount of time spent on each page, and whether the pages were bookmarked or printed.
","http://www.faroo.com/","","info@faroo.com","http://www.faroo.com/hp/company/contact.html","Business","United States","for profit organization","2007-01-01 00:00:00","English","","peer-to-peer, filesharing, search","P2P file sharing","Exchange","Service","Other","Private software","Wolf Garbe","users (P2P)","",""
"GeeXboX","GeeXboX is a free and Open Source Media-Center purposed Linux distribution for embedded devices and desktop computers. GeeXboX is not an application, it’s a full-featured OS, that one can boot as a LiveCD, from a USB key, an SD/MMC card or install on its regular HDD. The GeeXboX distribution is lightweight and designed for one single goal: embed all major multimedia applications as to turn your computer into an HTPC. GeeXboX runs on x86, PowerPC and ARM devices.","http://www.geexbox.org/","","","http://www.geexbox.org/mailing-lists/","","United Kingdom","other","","English","","","FLOSS communities","Other","Resource","GNU General Public License","GNU General Public License V2","","","",""
"Joomla","Joomla is an award-winning content management system (CMS), which enables you to build Web sites and powerful online applications. Many aspects, including its ease-of-use and extensibility, have made Joomla the most popular Web site software available. Best of all, Joomla is an open source solution that is freely available to everyone.","http://www.joomla.org","https://twitter.com/joomla","","http://www.joomla.org/about-the-joomla-project/media-contact.html","","United States","not for profit organization","2005-01-01 00:00:00","English","","CMS, FLOSS","FLOSS communities","Collage","Resource, Methodology","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","GNU General Public License V2","Open Source Matters","Open Source Matters","",""
"Drupal","Drupal is a free software content management framework maintained and developed by a community of 630,000+ users and developers. It is used as a back-end framework for at least 2.1% of all websites worldwide ranging from personal blogs to corporate, political, and government sites including whitehouse.gov and data.gov.uk. It is also used for knowledge management and business collaboration. Thanks to the  open development model, people are constantly working to make sure Drupal is a cutting-edge platform that supports the latest technologies that the Web has to offer. The Drupal project's principles encourage modularity, standards, collaboration, ease-of-use, and more.","http://www.drupal.org","https://twitter.com/drupal, https://twitter.com/drupal_org","","https://association.drupal.org/contact","Social Enterprise Charity Or Foundation","2828 SW Corbett Avenue, Suite #203Portland, OR 97201United States","not for profit organization","2001-01-01 00:00:00","Catalan, Chinese, Danish, English, Finnish, French, German, Italian, Norwegian, Polish, Portuguese, Russian, Spanish, Swedish, Ukranian","","FLOSS, CMS, framework","FLOSS communities","Collage","Resource, Methodology","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","GNU General Public License V2","All Drupal contributors retain copyright on their code, but agree to release it under the same license as Drupal","Drupal.org","Regarding the Association, it has no say in code development of the Drupal project or any contributed projects, neither control of the content on Drupal.org. However, this is the one chosen for the address. Regarding the languages, there are translations in almost all of them. However, as an indicator, those whose progress is higher than 70% in Drupal 8 Core at the time of submitting this information are indicated. Further information on the translation can be found at: https://localize.drupal.org/",""
"Grindr","Grindr, which first launched in 2009, has exploded into the largest and most popular all-male location-based social network out there. With more than 4 million guys in 192 countries around the world -- and approximately 10,000 more new users downloading the app every day -- you’ll always find a new date, buddy, or friend on Grindr.

Grindr is a simple app that uses your mobile device’s location-based services to show you the guys closest to you who are also on Grindr. How much of your info they see is entirely your call.","http://grindr.com/","https://twitter.com/grindr, https://www.facebook.com/Grindr","","http://grindr.com/contact","Business","6725 Sunset Blvd. Suite #430Los Angeles, CA 90028United States","for profit organization","2009-01-01 00:00:00","English","","p2p, social network","Community networks, P2P file sharing","Building collective process","Service","Other","Private software","Grindr, LLC","Grindr, LLC","",""
"Aka-Aki","Aka Aki is a Germany-based mobile social networking site that wants to let users discover and connect with members as they go about their days. They have two different versions of the site, a mobile version and a web version. The web version has all the standard features like profiles, friends and messaging, but, the mobile version is much different with its Bluetooth-sensing capabilities","http://www.aka-aki.com/","","","","Business","Am Borsigturm 2913507 BerlinGermany","for profit organization","2007-01-01 00:00:00","English","","p2p, social network","P2P file sharing","Building collective process","Service","Other","Private software","Aka Aki GmbH","Aka Aki GmbH","",""
"Mobiluck","MobiLuck is one of the oldest, largest and fastest-growing mobile location-based social networks.

MobiLuck allows users to find nearby friends, people and places with their mobile, sorted by distance. It lets people and businesses create their own mobile webpage for free in order to be found on the mobile web","http://mobiluck.com","","","","Business","France","for profit organization","2003-01-01 00:00:00","English","","p2p, social network","P2P file sharing","Building collective process","Service","Other","Private software","Olivier Chouraki","Mobiluck","",""
"Bitcoin","Bitcoin is a peer-to-peer payment system and digital currency introduced as open source software in 2009 by pseudonymous developer Satoshi Nakamoto. It is a cryptocurrency, so-called because it uses cryptography to control the creation and transfer of money","http://bitcoin.org","","","","Grass Roots Organization Or Community Network","United Kingdom","other","2009-01-01 00:00:00","English","","p2p, cryptocurrency","P2P economy","Exchange","Resource","Other","GNU General Public License V3","","users (P2P)","",""
"GigaTribe","GigaTribe is a peer-to-peer file sharing network. Originally developed in France (2005), its American version was launched in November 2008. It offers free and paid versions; with the paid version users may restrict access to their encrypted files to a group of trusted friends","http://www.gigatribe.com/en/home","http://www.facebook.com/pages/Gigatribe/45717330962","","http://www.gigatribe.com/en/contact-us","Business","France","for profit organization","2014-01-01 00:00:00","English","","p2p, filesharing","P2P file sharing","Exchange","Service","Other","Private software","GigaTribe company","users (P2P)","",""
"Wuala","Wuala is secure cloud storage, a haven in the cloud to store your files. You can safely access and share your files with friends, family, and co-workers.","https://wuala.com/","https://twitter.com/Wuala, https://www.facebook.com/mywuala","","https://support.wuala.com/contact/","Business","Switzerland","for profit organization","2007-01-01 00:00:00","English","","p2p, storage","P2P file sharing","Exchange","Service","Other","Private software","LaCie","LaCie","",""
"Joost","Joost was an Internet TV service, created by Niklas Zennström and Janus Friis (founders of Skype and Kazaa). During 2007-2008 Joost used peer-to-peer TV (P2PTV) technology to distribute content to their Mozilla-based desktop player; in late 2008 this was migrated to use a Flash-based Web player instead.","http://www.joost.com/","","","","Business","Sweden","for profit organization","2007-01-01 00:00:00","English","","p2p, streaming","P2P file sharing","Exchange","Service","Other","Private software","Niklas Zennström and Janus Friis","users (P2P)","The company went through restructuring several times and sold most of its assets in 2009; it suspended operations in 2012.",""
"SAFARI (Services Ad-hoc/Filaires)","SAFARI is a research project that purports to study, implement and test an integrated architecture for network design, deploying optimal use of dynamic services over a hybrid IPV6 Ad-hoc network.","http://codesignlab.wp.institut-telecom.fr/research-projects/safari/","","annie.gentes@telecom-paristech.fr","","Academia And Research","France","public institution","2004-01-01 00:00:00","French","+33 1 45 81 80 28","p2p, mesh networking","Community networks","Physical resource","Resource, Service, Design","Other","No license","Annie Gentes, Jean Louis Frechin and Hugues Choplin","Telecom-Paristech","the project is now over",""
"Commotion","Commotion is a free, open-source communication tool that uses mobile phones, computers, and other wireless devices to create decentralized mesh networks. Commotion provides a way for you to share your Internet connection with the people around you, but it is not a replacement for your Internet connection. ","http://commotionwireless.net/","","georgia@opentechinstitute.org","http://commotionwireless.net/contact","Grass Roots Organization Or Community Network","1899 L St., N.W., Suite 400Washington, DC, DC 20036United States","not for profit organization","2011-01-01 00:00:00","English","+1202-986-2700","mesh networking","Community networks","Physical resource","Resource, Service, Design","Other","GNU General Public License V3","Open Technology Institute","user (P2P)","",""
"PLUG (PLay Ubiquitous Games)","PLUG is a research project that studies embedded mobile technologies for the implementation of ubiquitous ambient games from a socio-cultural, economic and industrial point of view.","http://plug.cnam.fr/xwiki/bin/view/PLUG/","","plug-contact@picoforge.int-evry.fr","","","United Kingdom","public institution","2007-01-01 00:00:00","French","","p2p, mesh networking","Community networks","Physical resource","Resource, Service, Design","Other","No license","Paris Musée des Arts et Métiers","Paris Musée des Arts et Métiers","",""
"One Laptop Per Child (OLPC)","OLPC's mission is to empower the world's poorest children through education. ""We aim to provide each child with a rugged, low-cost, low-power, connected laptop. To this end, we have designed hardware, content and software for collaborative, joyful, and self-empowered learning. With access to this type of tool, children are engaged in their own education, and learn, share, and create together. They become connected to each other, to the world and to a brighter future.""","http://one.laptop.org","","help@laptop.org","http://wiki.laptop.org/go/OLPC:Contact_us","Business","One Laptop per Child Association848 Brickell Avenue, Suite 1130Miami, FL 33131-2943United States","for profit organization","2005-01-01 00:00:00","English","+1305.371.3755","mesh networking, education","Community networks, Open hardware, Open education","Physical resource","Resource, Service","Other","GNU General Public License V3","Nicholas Negroponte","OLPC","",""
"Transhumance","The goal of the Transhumance project is to devise a software platform to support the execution of collaborative applications in a mobile ad hoc network. The application designed to demonstrate the Transhumance platform is a pervasive collaborative treasure hunting game named “Team Exploration”","http://www.infres.enst.fr/~demeure/TRANSHUMANCE/index.html","","annie.gentes@telecom-paristech.fr","","Academia And Research","France","public institution","2006-01-01 00:00:00","French","","mesh network, p2p","Community networks","Physical resource","Resource, Service, Design, Methodology","Other","GNU Lesser General Public License","","ParisTech","the project is no longer active",""
"Napster","Napster is a name given to two music-focused online services. It was originally founded as a pioneering peer-to-peer file sharing Internet service that emphasized sharing audio files, typically music, encoded in MP3 format. The original company ran into legal difficulties over copyright infringement, ceased operations and was eventually acquired by Roxio.","http://en.wikipedia.org/wiki/Napster","","","","Business","United Kingdom","not for profit organization","1999-01-01 00:00:00","English","","p2p, filesharing","P2P file sharing","Exchange","Service","Other","Private software","Roxio","users (P2P)","In its second incarnation Napster became an online music store until it was acquired by Rhapsody from Best Buy on December 1, 2011.",""
"Buddy Backup","BuddyBackup lets you back up your files to your friends, family and colleagues' computers for free. This means you get safe and secure online and ""off-site"" backups of your data without having to pay a third party company.","http://www.buddybackup.com","","info@buddybackup.com","http://buddybackup.com/about/contact.aspx","Grass Roots Organization Or Community Network","Arxcis House9 Park Hill RoadLondonUKSW4 9NSUnited Kingdom","not for profit organization","2014-01-01 00:00:00","English","","p2p, storage","P2P file sharing","Exchange","Resource","Other","Private software","Buddy Backup","users (P2P)","",""
"The Internet Engineering Task Force (IETF)","The goal of the IETF is to make the Internet work better.                                

The mission of the IETF is to make the Internet work better by producing high quality, relevant technical documents that influence the way people design, use, and manage the Internet.","http://www.ietf.org/","https://twitter.com/ietf","","http://www.ietf.org/contact-the-ietf.html","Academia And Research","48377 Fremont Blvd., Suite 117Fremont, CA 94538United States","not for profit organization","1986-01-01 00:00:00","English","+1-510-492-4080","","Internet protocol, Open technology","Collage","Resource, Internet protocol","Other","No license","The Internet Society","The Internet Society","",""
"R "," R is a language and environment for statistical computing and graphics. It is a GNU project which is similar to the S language and environment which was developed at Bell Laboratories (formerly AT&T, now Lucent Technologies) by John Chambers and colleagues. R can be considered as a different implementation of S. There are some important differences, but much code written for S runs unaltered under R.

R provides a wide variety of statistical (linear and nonlinear modelling, classical statistical tests, time-series analysis, classification, clustering, ...) and graphical techniques, and is highly extensible. The S language is often the vehicle of choice for research in statistical methodology, and R provides an Open Source route to participation in that activity.

One of R's strengths is the ease with which well-designed publication-quality plots can be produced, including mathematical symbols and formulae where needed. Great care has been taken over the defaults for the minor design choices in graphics, but the user retains full control. ","http://www.r-project.org/","http://www.r-bloggers.com/, https://www.facebook.com/pages/R-bloggers/191414254890, https://twitter.com/rbloggers","friedrich.leisch@boku.ac.at","http://www.r-project.org/mail.html","Academia And Research","Wirtschaftsuniversität Wien Welthandelsplatz 11020 VienaAustria","not for profit organization","1993-01-01 00:00:00","Danish, Dutch, English, German, Portuguese, Spanish, Swedish","(+43 1) 31336 4754","","FLOSS communities","Collage","Resource, Service","GNU General Public License","GNU General Public License V2","","R Development Core Team.","http://rwiki.sciviews.org/doku.php",""
"P2P Lab","P2P Lab is an independent media lab interested in interdisciplinary research on free/open source technologies and practices.","http://p2plab.org/","","info@p2plab.org","","Academia And Research","","not for profit organization","2013-01-01 00:00:00","English","","","Community networks, Internet of things, Open hardware, Open technology, Open design, Collaborative research, Citizen science, Open science, Open education, P2P economy, P2P currency, Hacklabs / Collaborative spaces","Other","Resource, Service, Design, Others","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","","",""
"Digital Social Innovation","Digital Social Innovation is a research projecte funded by The European Commission with the mission to build a living map of organisations that use digital technologies for social innovation. Led by Nesta, the project partners are Esade, FutureEverything, IRI, Swirrl and Waag Society.","http://digitalsocial.eu/","https://twitter.com/digi_si","contact@digitalsocial.eu","","Government And Public Sector","","public institution","2012-01-01 00:00:00","English","","","Collaborative research, Open data commons","Album","Resource","Other","Other licenses","","","This site provides access to the data collected via DigitalSocial.eu as Linked Data: http://data.digitalsocial.eu/data",""
"Freenode","freenode is a special-purpose, not a general-purpose, discussion network, currently implemented on Internet Relay Chat (IRC). It exists to support specific communities. It provides an interactive environment for coordination and support of peer-directed projects, including those relating to free software and open source. Our aim is to help our participants to improve their communicative and collaborative skills and to maintain a friendly, efficient environment for project coordination and technical support.","http://freenode.net","","support@freenode.net","","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2002-01-01 00:00:00","English","","","Free software social networks and platforms","Exchange","Resource, Service","Creative Commons: Attribution-NoDerivs (CC BY-ND)","Open Source License","","","",""
"Open Frame Works (OFW)","OpenFrameworks is an open source C++ toolkit for creative coding.","http://www.openframeworks.cc","https://github.com/openframeworks/openFrameworks/commit/da55a485e5f50cc18a44a2016dab1b3e73f0edc8, https://twitter.com/openframeworks, https://www.facebook.com/GitHub, https://es.foursquare.com/v/github-hq-30/50f75cc0e4b07201af25590d?ref=atw","info@openframeworks.com","","","","","2008-01-01 00:00:00","English","","DIWO, creative coding","FLOSS communities","Collage","Resource, Methodology","Other","MIT License","Community based","","",""
"MOOCs","A Massive Open Online Course (MOOC) is an online course aimed at unlimited participation and open access via the web. In addition to traditional course materials such as videos, readings, and problem sets, MOOCs provide interactive user forums that help build a community for students, professors, and teaching assistants (TAs). MOOCs are a recent development in distance education.","http://www.mooc.es","https://twitter.com/esmooc","info@mooc.es","","Academia And Research","United Kingdom","for profit organization","2008-01-01 00:00:00","English","","","Open education","Exchange","Service","Other","No license","","","",""
"The Open University","The Open University (OU) is a distance learning and research university founded by Royal Charter in the United Kingdom. The university is funded by a combination of student fees, contract income, and allocations for teaching and research by the higher education funding bodies throughout the UK. It is notable for having an open entry policy, i.e. students' previous academic achievements are not taken into account for entry to most undergraduate courses. The majority of the OU's undergraduate students are based in the United Kingdom and principally study off-campus, but many of its courses (both undergraduate and postgraduate) can be studied off-campus anywhere in the world.","http://www.open.ac.uk","https://twitter.com/OpenUniversity, https://www.facebook.com/theopenuniversity","","http://www3.open.ac.uk/contact/","Government And Public Sector","United Kingdom","public institution","1990-01-01 00:00:00","English","+44  8453006090","","Open education","Album","Service","Copyright","No license","The Open University","","The Open University is incorporated by Royal Charter (RC 000391), an exempt charity in England & Wales and a charity registered in Scotland (SC 038302).",""
"Peer to peer University (P2PU)","Peer to Peer University (P2PU) is a nonprofit online open learning community which allows users to organize and participate in courses and study groups to learn about specific topics. Peer 2 Peer University was started in 2009 with funding from the Hewlett Foundation and the Shuttleworth Foundation, with its first of courses in September of that year. An example of the ""edupunk"" approach to education, P2PU charges no tuition and courses are not accredited. P2PU offers some of the features of massive open online courses, but is focused on people sharing their knowledge on a topic or learning about a topic offered by another user with a DIY wiki-type mentality","https://p2pu.org","https://twitter.com/p2pu, https://www.facebook.com/P2PUniversity"," thepeople@p2pu.org","","Academia And Research","","not for profit organization","2009-01-01 00:00:00","English","","","Open education","Collage","Service, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Mozilla Public License 1.1","Peer 2 Peer University, Inc.","Peer 2 Peer University, Inc.","",""
